x_0,x_1,x_2
-5.000000,-5.000000,12.642411
-5.000000,-4.900000,12.816406
-5.000000,-4.800000,13.289395
-5.000000,-4.700000,13.727453
-5.000000,-4.600000,13.966601
-5.000000,-4.500000,13.993625
-5.000000,-4.400000,13.820456
-5.000000,-4.300000,13.435255
-5.000000,-4.200000,12.851327
-5.000000,-4.100000,12.232743
-5.000000,-4.000000,11.913518
-5.000000,-3.900000,12.089881
-5.000000,-3.800000,12.565714
-5.000000,-3.700000,13.007110
-5.000000,-3.600000,13.250111
-5.000000,-3.500000,13.281521
-5.000000,-3.400000,13.113289
-5.000000,-3.300000,12.733594
-5.000000,-3.200000,12.155761
-5.000000,-3.100000,11.543878
-5.000000,-3.000000,11.231979
-5.000000,-2.900000,11.416308
-5.000000,-2.800000,11.900767
-5.000000,-2.700000,12.351463
-5.000000,-2.600000,12.604452
-5.000000,-2.500000,12.646553
-5.000000,-2.400000,12.489728
-5.000000,-2.300000,12.122168
-5.000000,-2.200000,11.557207
-5.000000,-2.100000,10.958942
-5.000000,-2.000000,10.661413
-5.000000,-1.900000,10.860870
-5.000000,-1.800000,11.361214
-5.000000,-1.700000,11.828556
-5.000000,-1.600000,12.098949
-5.000000,-1.500000,12.159205
-5.000000,-1.400000,12.021281
-5.000000,-1.300000,11.673355
-5.000000,-1.200000,11.128749
-5.000000,-1.100000,10.551543
-5.000000,-1.000000,10.275757
-5.000000,-0.900000,10.497619
-5.000000,-0.800000,11.021005
-5.000000,-0.700000,11.511994
-5.000000,-0.600000,11.806608
-5.000000,-0.500000,11.891625
-5.000000,-0.400000,11.778962
-5.000000,-0.300000,11.456756
-5.000000,-0.200000,10.938286
-5.000000,-0.100000,10.387585
-5.000000,-0.000000,10.138626
-5.000000,0.100000,10.387585
-5.000000,0.200000,10.938286
-5.000000,0.300000,11.456756
-5.000000,0.400000,11.778962
-5.000000,0.500000,11.891625
-5.000000,0.600000,11.806608
-5.000000,0.700000,11.511994
-5.000000,0.800000,11.021005
-5.000000,0.900000,10.497619
-5.000000,1.000000,10.275757
-5.000000,1.100000,10.551543
-5.000000,1.200000,11.128749
-5.000000,1.300000,11.673355
-5.000000,1.400000,12.021281
-5.000000,1.500000,12.159205
-5.000000,1.600000,12.098949
-5.000000,1.700000,11.828556
-5.000000,1.800000,11.361214
-5.000000,1.900000,10.860870
-5.000000,2.000000,10.661413
-5.000000,2.100000,10.958942
-5.000000,2.200000,11.557207
-5.000000,2.300000,12.122168
-5.000000,2.400000,12.489728
-5.000000,2.500000,12.646553
-5.000000,2.600000,12.604452
-5.000000,2.700000,12.351463
-5.000000,2.800000,11.900767
-5.000000,2.900000,11.416308
-5.000000,3.000000,11.231979
-5.000000,3.100000,11.543878
-5.000000,3.200000,12.155761
-5.000000,3.300000,12.733594
-5.000000,3.400000,13.113289
-5.000000,3.500000,13.281521
-5.000000,3.600000,13.250111
-5.000000,3.700000,13.007110
-5.000000,3.800000,12.565714
-5.000000,3.900000,12.089881
-5.000000,4.000000,11.913518
-5.000000,4.100000,12.232743
-5.000000,4.200000,12.851327
-5.000000,4.300000,13.435255
-5.000000,4.400000,13.820456
-5.000000,4.500000,13.993625
-5.000000,4.600000,13.966601
-5.000000,4.700000,13.727453
-5.000000,4.800000,13.289395
-5.000000,4.900000,12.816406
-4.900000,-5.000000,12.816406
-4.900000,-4.900000,12.966360
-4.900000,-4.800000,13.388059
-4.900000,-4.700000,13.777994
-4.900000,-4.600000,13.987123
-4.900000,-4.500000,14.003442
-4.900000,-4.400000,13.837799
-4.900000,-4.300000,13.479438
-4.900000,-4.200000,12.940458
-4.900000,-4.100000,12.369993
-4.900000,-4.000000,12.071644
-4.900000,-3.900000,12.223775
-4.900000,-3.800000,12.648135
-4.900000,-3.700000,13.041235
-4.900000,-3.600000,13.254056
-4.900000,-3.500000,13.274610
-4.900000,-3.400000,13.113768
-4.900000,-3.300000,12.760792
-4.900000,-3.200000,12.227801
-4.900000,-3.100000,11.663949
-4.900000,-3.000000,11.372857
-4.900000,-2.900000,11.532906
-4.900000,-2.800000,11.965865
-4.900000,-2.700000,12.368261
-4.900000,-2.600000,12.591091
-4.900000,-2.500000,12.622385
-4.900000,-2.400000,12.473025
-4.900000,-2.300000,12.132289
-4.900000,-2.200000,11.612307
-4.900000,-2.100000,11.062241
-4.900000,-2.000000,10.785722
-4.900000,-1.900000,10.961135
-4.900000,-1.800000,11.410253
-4.900000,-1.700000,11.829606
-4.900000,-1.600000,12.070188
-4.900000,-1.500000,12.120024
-4.900000,-1.400000,11.989992
-4.900000,-1.300000,11.669356
-4.900000,-1.200000,11.170236
-4.900000,-1.100000,10.641775
-4.900000,-1.000000,10.387585
-4.900000,-0.900000,10.586028
-4.900000,-0.800000,11.058850
-4.900000,-0.700000,11.502550
-4.900000,-0.600000,11.768089
-4.900000,-0.500000,11.843456
-4.900000,-0.400000,11.739485
-4.900000,-0.300000,11.445400
-4.900000,-0.200000,10.973273
-4.900000,-0.100000,10.472200
-4.900000,-0.000000,10.245739
-4.900000,0.100000,10.472200
-4.900000,0.200000,10.973273
-4.900000,0.300000,11.445400
-4.900000,0.400000,11.739485
-4.900000,0.500000,11.843456
-4.900000,0.600000,11.768089
-4.900000,0.700000,11.502550
-4.900000,0.800000,11.058850
-4.900000,0.900000,10.586028
-4.900000,1.000000,10.387585
-4.900000,1.100000,10.641775
-4.900000,1.200000,11.170236
-4.900000,1.300000,11.669356
-4.900000,1.400000,11.989992
-4.900000,1.500000,12.120024
-4.900000,1.600000,12.070188
-4.900000,1.700000,11.829606
-4.900000,1.800000,11.410253
-4.900000,1.900000,10.961135
-4.900000,2.000000,10.785722
-4.900000,2.100000,11.062241
-4.900000,2.200000,11.612307
-4.900000,2.300000,12.132289
-4.900000,2.400000,12.473025
-4.900000,2.500000,12.622385
-4.900000,2.600000,12.591091
-4.900000,2.700000,12.368261
-4.900000,2.800000,11.965865
-4.900000,2.900000,11.532906
-4.900000,3.000000,11.372857
-4.900000,3.100000,11.663949
-4.900000,3.200000,12.227801
-4.900000,3.300000,12.760792
-4.900000,3.400000,13.113768
-4.900000,3.500000,13.274610
-4.900000,3.600000,13.254056
-4.900000,3.700000,13.041235
-4.900000,3.800000,12.648135
-4.900000,3.900000,12.223775
-4.900000,4.000000,12.071644
-4.900000,4.100000,12.369993
-4.900000,4.200000,12.940458
-4.900000,4.300000,13.479438
-4.900000,4.400000,13.837799
-4.900000,4.500000,14.003442
-4.900000,4.600000,13.987123
-4.900000,4.700000,13.777994
-4.900000,4.800000,13.388059
-4.900000,4.900000,12.966360
-4.800000,-5.000000,13.289395
-4.800000,-4.900000,13.388059
-4.800000,-4.800000,13.698339
-4.800000,-4.700000,13.983868
-4.800000,-4.600000,14.128586
-4.800000,-4.500000,14.123152
-4.800000,-4.400000,13.976025
-4.800000,-4.300000,13.678840
-4.800000,-4.200000,13.241032
-4.800000,-4.100000,12.778758
-4.800000,-4.000000,12.528476
-4.800000,-3.900000,12.629110
-4.800000,-3.800000,12.941853
-4.800000,-3.700000,13.230360
-4.800000,-3.600000,13.378591
-4.800000,-3.500000,13.377227
-4.800000,-3.400000,13.234748
-4.800000,-3.300000,12.942811
-4.800000,-3.200000,12.510871
-4.800000,-3.100000,12.055106
-4.800000,-3.000000,11.811997
-4.800000,-2.900000,11.920485
-4.800000,-2.800000,12.241784
-4.800000,-2.700000,12.539569
-4.800000,-2.600000,12.697817
-4.800000,-2.500000,12.707227
-4.800000,-2.400000,12.576295
-4.800000,-2.300000,12.296691
-4.800000,-2.200000,11.877886
-4.800000,-2.100000,11.436068
-4.800000,-2.000000,11.207726
-4.800000,-1.900000,11.331810
-4.800000,-1.800000,11.669538
-4.800000,-1.700000,11.984589
-4.800000,-1.600000,12.160938
-4.800000,-1.500000,12.189280
-4.800000,-1.400000,12.078107
-4.800000,-1.300000,11.819079
-4.800000,-1.200000,11.421652
-4.800000,-1.100000,11.001998
-4.800000,-1.000000,10.796588
-4.800000,-0.900000,10.944345
-4.800000,-0.800000,11.306461
-4.800000,-0.700000,11.646583
-4.800000,-0.600000,11.848652
-4.800000,-0.500000,11.903323
-4.800000,-0.400000,11.819044
-4.800000,-0.300000,11.587432
-4.800000,-0.200000,11.217892
-4.800000,-0.100000,10.826546
-4.800000,-0.000000,10.649808
-4.800000,0.100000,10.826546
-4.800000,0.200000,11.217892
-4.800000,0.300000,11.587432
-4.800000,0.400000,11.819044
-4.800000,0.500000,11.903323
-4.800000,0.600000,11.848652
-4.800000,0.700000,11.646583
-4.800000,0.800000,11.306461
-4.800000,0.900000,10.944345
-4.800000,1.000000,10.796588
-4.800000,1.100000,11.001998
-4.800000,1.200000,11.421652
-4.800000,1.300000,11.819079
-4.800000,1.400000,12.078107
-4.800000,1.500000,12.189280
-4.800000,1.600000,12.160938
-4.800000,1.700000,11.984589
-4.800000,1.800000,11.669538
-4.800000,1.900000,11.331810
-4.800000,2.000000,11.207726
-4.800000,2.100000,11.436068
-4.800000,2.200000,11.877886
-4.800000,2.300000,12.296691
-4.800000,2.400000,12.576295
-4.800000,2.500000,12.707227
-4.800000,2.600000,12.697817
-4.800000,2.700000,12.539569
-4.800000,2.800000,12.241784
-4.800000,2.900000,11.920485
-4.800000,3.000000,11.811997
-4.800000,3.100000,12.055106
-4.800000,3.200000,12.510871
-4.800000,3.300000,12.942811
-4.800000,3.400000,13.234748
-4.800000,3.500000,13.377227
-4.800000,3.600000,13.378591
-4.800000,3.700000,13.230360
-4.800000,3.800000,12.941853
-4.800000,3.900000,12.629110
-4.800000,4.000000,12.528476
-4.800000,4.100000,12.778758
-4.800000,4.200000,13.241032
-4.800000,4.300000,13.678840
-4.800000,4.400000,13.976025
-4.800000,4.500000,14.123152
-4.800000,4.600000,14.128586
-4.800000,4.700000,13.983868
-4.800000,4.800000,13.698339
-4.800000,4.900000,13.388059
-4.700000,-5.000000,13.727453
-4.700000,-4.900000,13.777994
-4.700000,-4.800000,13.983868
-4.700000,-4.700000,14.171557
-4.700000,-4.600000,14.255861
-4.700000,-4.500000,14.229936
-4.700000,-4.400000,14.100005
-4.700000,-4.300000,13.859941
-4.700000,-4.200000,13.516685
-4.700000,-4.100000,13.155530
-4.700000,-4.000000,12.950092
-4.700000,-3.900000,13.002380
-4.700000,-3.800000,13.210503
-4.700000,-3.700000,13.400965
-4.700000,-3.600000,13.488588
-4.700000,-3.500000,13.466551
-4.700000,-3.400000,13.341099
-4.700000,-3.300000,13.106128
-4.700000,-3.200000,12.768601
-4.700000,-3.100000,12.413835
-4.700000,-3.000000,12.215467
-4.700000,-2.900000,12.275528
-4.700000,-2.800000,12.492150
-4.700000,-2.700000,12.691856
-4.700000,-2.600000,12.789489
-4.700000,-2.500000,12.778245
-4.700000,-2.400000,12.664391
-4.700000,-2.300000,12.441835
-4.700000,-2.200000,12.117557
-4.700000,-2.100000,11.776887
-4.700000,-2.000000,11.593474
-4.700000,-1.900000,11.669356
-4.700000,-1.800000,11.902673
-4.700000,-1.700000,12.119950
-4.700000,-1.600000,12.236032
-4.700000,-1.500000,12.244114
-4.700000,-1.400000,12.150455
-4.700000,-1.300000,11.948956
-4.700000,-1.200000,11.646583
-4.700000,-1.100000,11.328650
-4.700000,-1.000000,11.168785
-4.700000,-0.900000,11.269004
-4.700000,-0.800000,11.527414
-4.700000,-0.700000,11.770511
-4.700000,-0.600000,11.913103
-4.700000,-0.500000,11.948343
-4.700000,-0.400000,11.882445
-4.700000,-0.300000,11.709263
-4.700000,-0.200000,11.435710
-4.700000,-0.100000,11.147045
-4.700000,-0.000000,11.016839
-4.700000,0.100000,11.147045
-4.700000,0.200000,11.435710
-4.700000,0.300000,11.709263
-4.700000,0.400000,11.882445
-4.700000,0.500000,11.948343
-4.700000,0.600000,11.913103
-4.700000,0.700000,11.770511
-4.700000,0.800000,11.527414
-4.700000,0.900000,11.269004
-4.700000,1.000000,11.168785
-4.700000,1.100000,11.328650
-4.700000,1.200000,11.646583
-4.700000,1.300000,11.948956
-4.700000,1.400000,12.150455
-4.700000,1.500000,12.244114
-4.700000,1.600000,12.236032
-4.700000,1.700000,12.119950
-4.700000,1.800000,11.902673
-4.700000,1.900000,11.669356
-4.700000,2.000000,11.593474
-4.700000,2.100000,11.776887
-4.700000,2.200000,12.117557
-4.700000,2.300000,12.441835
-4.700000,2.400000,12.664391
-4.700000,2.500000,12.778245
-4.700000,2.600000,12.789489
-4.700000,2.700000,12.691856
-4.700000,2.800000,12.492150
-4.700000,2.900000,12.275528
-4.700000,3.000000,12.215467
-4.700000,3.100000,12.413835
-4.700000,3.200000,12.768601
-4.700000,3.300000,13.106128
-4.700000,3.400000,13.341099
-4.700000,3.500000,13.466551
-4.700000,3.600000,13.488588
-4.700000,3.700000,13.400965
-4.700000,3.800000,13.210503
-4.700000,3.900000,13.002380
-4.700000,4.000000,12.950092
-4.700000,4.100000,13.155530
-4.700000,4.200000,13.516685
-4.700000,4.300000,13.859941
-4.700000,4.400000,14.100005
-4.700000,4.500000,14.229936
-4.700000,4.600000,14.255861
-4.700000,4.700000,14.171557
-4.700000,4.800000,13.983868
-4.700000,4.900000,13.777994
-4.600000,-5.000000,13.966601
-4.600000,-4.900000,13.987123
-4.600000,-4.800000,14.128586
-4.600000,-4.700000,14.255861
-4.600000,-4.600000,14.302605
-4.600000,-4.500000,14.263499
-4.600000,-4.400000,14.143400
-4.600000,-4.300000,13.937546
-4.600000,-4.200000,13.651357
-4.600000,-4.100000,13.351271
-4.600000,-4.000000,13.172514
-4.600000,-3.900000,13.194545
-4.600000,-3.800000,13.338026
-4.600000,-3.700000,13.467852
-4.600000,-3.600000,13.517704
-4.600000,-3.500000,13.482285
-4.600000,-3.400000,13.366477
-4.600000,-3.300000,13.165544
-4.600000,-3.200000,12.884928
-4.600000,-3.100000,12.591091
-4.600000,-3.000000,12.419285
-4.600000,-2.900000,12.448991
-4.600000,-2.800000,12.600894
-4.600000,-2.700000,12.739913
-4.600000,-2.600000,12.799750
-4.600000,-2.500000,12.775129
-4.600000,-2.400000,12.670954
-4.600000,-2.300000,12.482504
-4.600000,-2.200000,12.215238
-4.600000,-2.100000,11.935637
-4.600000,-2.000000,11.778962
-4.600000,-1.900000,11.824705
-4.600000,-1.800000,11.993562
-4.600000,-1.700000,12.150455
-4.600000,-1.600000,12.229089
-4.600000,-1.500000,12.224187
-4.600000,-1.400000,12.140646
-4.600000,-1.300000,11.973741
-4.600000,-1.200000,11.728918
-4.600000,-1.100000,11.472638
-4.600000,-1.000000,11.340145
-4.600000,-0.900000,11.410906
-4.600000,-0.800000,11.605586
-4.600000,-0.700000,11.789073
-4.600000,-0.600000,11.895035
-4.600000,-0.500000,11.918152
-4.600000,-0.400000,11.863275
-4.600000,-0.300000,11.725625
-4.600000,-0.200000,11.510595
-4.600000,-0.100000,11.284588
-4.600000,-0.000000,11.182785
-4.600000,0.100000,11.284588
-4.600000,0.200000,11.510595
-4.600000,0.300000,11.725625
-4.600000,0.400000,11.863275
-4.600000,0.500000,11.918152
-4.600000,0.600000,11.895035
-4.600000,0.700000,11.789073
-4.600000,0.800000,11.605586
-4.600000,0.900000,11.410906
-4.600000,1.000000,11.340145
-4.600000,1.100000,11.472638
-4.600000,1.200000,11.728918
-4.600000,1.300000,11.973741
-4.600000,1.400000,12.140646
-4.600000,1.500000,12.224187
-4.600000,1.600000,12.229089
-4.600000,1.700000,12.150455
-4.600000,1.800000,11.993562
-4.600000,1.900000,11.824705
-4.600000,2.000000,11.778962
-4.600000,2.100000,11.935637
-4.600000,2.200000,12.215238
