x_0,x_1,x_2
-5.000000,-5.000000,4283.407427
-5.000000,-4.900000,4248.835586
-5.000000,-4.800000,4214.338492
-5.000000,-4.700000,4180.177579
-5.000000,-4.600000,4146.613673
-5.000000,-4.500000,4113.899451
-5.000000,-4.400000,4082.272047
-5.000000,-4.300000,4051.946254
-5.000000,-4.200000,4023.108725
-5.000000,-4.100000,3995.913522
-5.000000,-4.000000,3970.479209
-5.000000,-3.900000,3946.887586
-5.000000,-3.800000,3925.184022
-5.000000,-3.700000,3905.379205
-5.000000,-3.600000,3887.452091
-5.000000,-3.500000,3871.353729
-5.000000,-3.400000,3857.011669
-5.000000,-3.300000,3844.334620
-5.000000,-3.200000,3833.217120
-5.000000,-3.100000,3823.543970
-5.000000,-3.000000,3815.194297
-5.000000,-2.900000,3808.045110
-5.000000,-2.800000,3801.974321
-5.000000,-2.700000,3796.863197
-5.000000,-2.600000,3792.598272
-5.000000,-2.500000,3789.072760
-5.000000,-2.400000,3786.187515
-5.000000,-2.300000,3783.851621
-5.000000,-2.200000,3781.982653
-5.000000,-2.100000,3780.506683
-5.000000,-2.000000,3779.358088
-5.000000,-1.900000,3778.479203
-5.000000,-1.800000,3777.819871
-5.000000,-1.700000,3777.336909
-5.000000,-1.600000,3776.993540
-5.000000,-1.500000,3776.758797
-5.000000,-1.400000,3776.606923
-5.000000,-1.300000,3776.516786
-5.000000,-1.200000,3776.471306
-5.000000,-1.100000,3776.456914
-5.000000,-1.000000,3776.463042
-5.000000,-0.900000,3776.481650
-5.000000,-0.800000,3776.506788
-5.000000,-0.700000,3776.534199
-5.000000,-0.600000,3776.560969
-5.000000,-0.500000,3776.585205
-5.000000,-0.400000,3776.605769
-5.000000,-0.300000,3776.622044
-5.000000,-0.200000,3776.633746
-5.000000,-0.100000,3776.640777
-5.000000,-0.000000,3776.643120
-5.000000,0.100000,3776.640777
-5.000000,0.200000,3776.633746
-5.000000,0.300000,3776.622044
-5.000000,0.400000,3776.605770
-5.000000,0.500000,3776.585206
-5.000000,0.600000,3776.560969
-5.000000,0.700000,3776.534200
-5.000000,0.800000,3776.506789
-5.000000,0.900000,3776.481651
-5.000000,1.000000,3776.463044
-5.000000,1.100000,3776.456916
-5.000000,1.200000,3776.471308
-5.000000,1.300000,3776.516788
-5.000000,1.400000,3776.606925
-5.000000,1.500000,3776.758799
-5.000000,1.600000,3776.993543
-5.000000,1.700000,3777.336912
-5.000000,1.800000,3777.819874
-5.000000,1.900000,3778.479207
-5.000000,2.000000,3779.358092
-5.000000,2.100000,3780.506687
-5.000000,2.200000,3781.982658
-5.000000,2.300000,3783.851627
-5.000000,2.400000,3786.187520
-5.000000,2.500000,3789.072766
-5.000000,2.600000,3792.598279
-5.000000,2.700000,3796.863204
-5.000000,2.800000,3801.974329
-5.000000,2.900000,3808.045119
-5.000000,3.000000,3815.194307
-5.000000,3.100000,3823.543981
-5.000000,3.200000,3833.217131
-5.000000,3.300000,3844.334633
-5.000000,3.400000,3857.011683
-5.000000,3.500000,3871.353744
-5.000000,3.600000,3887.452107
-5.000000,3.700000,3905.379223
-5.000000,3.800000,3925.184042
-5.000000,3.900000,3946.887608
-5.000000,4.000000,3970.479233
-5.000000,4.100000,3995.913549
-5.000000,4.200000,4023.108755
-5.000000,4.300000,4051.946287
-5.000000,4.400000,4082.272084
-5.000000,4.500000,4113.899492
-5.000000,4.600000,4146.613719
-5.000000,4.700000,4180.177631
-5.000000,4.800000,4214.338549
-5.000000,4.900000,4248.835651
-4.900000,-5.000000,4248.835584
-4.900000,-4.900000,4210.388095
-4.900000,-4.800000,4171.818571
-4.900000,-4.700000,4133.421178
-4.900000,-4.600000,4095.495585
-4.900000,-4.500000,4058.338282
-4.900000,-4.400000,4022.233669
-4.900000,-4.300000,3987.445496
-4.900000,-4.200000,3954.209160
-4.900000,-4.100000,3922.725367
-4.900000,-4.000000,3893.155500
-4.900000,-3.900000,3865.618905
-4.900000,-3.800000,3840.192130
-4.900000,-3.700000,3816.910021
-4.900000,-3.600000,3795.768412
-4.900000,-3.500000,3776.728099
-4.900000,-3.400000,3759.719702
-4.900000,-3.300000,3744.649051
-4.900000,-3.200000,3731.402723
-4.900000,-3.100000,3719.853450
-4.900000,-3.000000,3709.865146
-4.900000,-2.900000,3701.297405
-4.900000,-2.800000,3694.009363
-4.900000,-2.700000,3687.862893
-4.900000,-2.600000,3682.725132
-4.900000,-2.500000,3678.470389
-4.900000,-2.400000,3674.981484
-4.900000,-2.300000,3672.150603
-4.900000,-2.200000,3669.879741
-4.900000,-2.100000,3668.080811
